"icd_10_pcs","valid_flag","short_description","long_description"
"00163JA",1,"Bypass Cereb Vent to Subgaleal with Synth Sub, Perc Approach","Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Percutaneous Approach"
"00163JB",1,"Bypass Cereb Vent to Cereb Cistern w Synth Sub, Perc","Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Percutaneous Approach"
"00163K0",1,"Bypass Cereb Vent to Nasophar with Nonaut Sub, Perc Approach","Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K1",1,"Bypass Cereb Vent to Mastoid Sinus w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K2",1,"Bypass Cereb Vent to Atrium with Nonaut Sub, Perc Approach","Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K3",1,"Bypass Cereb Vent to Blood Vess w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K4",1,"Bypass Cereb Vent to Pleural Cav w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K5",1,"Bypass Cereb Vent to Intestine w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K6",1,"Bypass Cereb Vent to Periton Cav w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K7",1,"Bypass Cereb Vent to Urinary Tract w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163K8",1,"Bypass Cereb Vent to Bone Mar with Nonaut Sub, Perc Approach","Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163KA",1,"Bypass Cereb Vent to Subgaleal w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163KB",1,"Bypass Cereb Vent to Cereb Cistern w Nonaut Sub, Perc","Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Percutaneous Approach"
"00163ZB",1,"Bypass Cerebral Ventricle to Cereb Cistern, Perc Approach","Bypass Cerebral Ventricle to Cerebral Cisterns, Percutaneous Approach"
"0016470",1,"Bypass Cereb Vent to Nasophar w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016471",1,"Bypass Cereb Vent to Mastoid Sinus w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016472",1,"Bypass Cereb Vent to Atrium w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016473",1,"Bypass Cereb Vent to Blood Vess w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016474",1,"Bypass Cereb Vent to Pleural Cav w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016475",1,"Bypass Cereb Vent to Intestine w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016476",1,"Bypass Cereb Vent to Periton Cav w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016477",1,"Bypass Cereb Vent to Urinary Tract w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0016478",1,"Bypass Cereb Vent to Bone Mar w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001647A",1,"Bypass Cereb Vent to Subgaleal w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001647B",1,"Bypass Cereb Vent to Cereb Cistern w Autol Sub, Perc Endo","Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164J0",1,"Bypass Cereb Vent to Nasophar w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J1",1,"Bypass Cereb Vent to Mastoid Sinus w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J2",1,"Bypass Cereb Vent to Atrium w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J3",1,"Bypass Cereb Vent to Blood Vess w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J4",1,"Bypass Cereb Vent to Pleural Cav w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J5",1,"Bypass Cereb Vent to Intestine w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J6",1,"Bypass Cereb Vent to Periton Cav w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J7",1,"Bypass Cereb Vent to Urinary Tract w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164J8",1,"Bypass Cereb Vent to Bone Mar w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164JA",1,"Bypass Cereb Vent to Subgaleal w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164JB",1,"Bypass Cereb Vent to Cereb Cistern w Synth Sub, Perc Endo","Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Percutaneous Endoscopic Approach"
"00164K0",1,"Bypass Cereb Vent to Nasophar w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K1",1,"Bypass Cereb Vent to Mastoid Sinus w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K2",1,"Bypass Cereb Vent to Atrium w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K3",1,"Bypass Cereb Vent to Blood Vess w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K4",1,"Bypass Cereb Vent to Pleural Cav w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K5",1,"Bypass Cereb Vent to Intestine w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K6",1,"Bypass Cereb Vent to Periton Cav w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K7",1,"Bypass Cereb Vent to Urinary Tract w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164K8",1,"Bypass Cereb Vent to Bone Mar w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164KA",1,"Bypass Cereb Vent to Subgaleal w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164KB",1,"Bypass Cereb Vent to Cereb Cistern w Nonaut Sub, Perc Endo","Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"00164ZB",1,"Bypass Cereb Vent to Cereb Cistern, Perc Endo Approach","Bypass Cerebral Ventricle to Cerebral Cisterns, Percutaneous Endoscopic Approach"
"001U072",1,"Bypass Spinal Canal to Atrium with Autol Sub, Open Approach","Bypass Spinal Canal to Atrium with Autologous Tissue Substitute, Open Approach"
"001U074",1,"Bypass Spinal Canal to Pleural Cav w Autol Sub, Open","Bypass Spinal Canal to Pleural Cavity with Autologous Tissue Substitute, Open Approach"
"001U076",1,"Bypass Spinal Canal to Periton Cav w Autol Sub, Open","Bypass Spinal Canal to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach"
"001U077",1,"Bypass Spinal Canal to Urinary Tract w Autol Sub, Open","Bypass Spinal Canal to Urinary Tract with Autologous Tissue Substitute, Open Approach"
"001U079",1,"Bypass Spinal Canal to Fallopian w Autol Sub, Open","Bypass Spinal Canal to Fallopian Tube with Autologous Tissue Substitute, Open Approach"
"001U0J2",1,"Bypass Spinal Canal to Atrium with Synth Sub, Open Approach","Bypass Spinal Canal to Atrium with Synthetic Substitute, Open Approach"
"001U0J4",1,"Bypass Spinal Canal to Pleural Cav w Synth Sub, Open","Bypass Spinal Canal to Pleural Cavity with Synthetic Substitute, Open Approach"
"001U0J6",1,"Bypass Spinal Canal to Periton Cav w Synth Sub, Open","Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Open Approach"
"001U0J7",1,"Bypass Spinal Canal to Urinary Tract w Synth Sub, Open","Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Open Approach"
"001U0J9",1,"Bypass Spinal Canal to Fallopian w Synth Sub, Open","Bypass Spinal Canal to Fallopian Tube with Synthetic Substitute, Open Approach"
"001U0K2",1,"Bypass Spinal Canal to Atrium with Nonaut Sub, Open Approach","Bypass Spinal Canal to Atrium with Nonautologous Tissue Substitute, Open Approach"
"001U0K4",1,"Bypass Spinal Canal to Pleural Cav w Nonaut Sub, Open","Bypass Spinal Canal to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach"
"001U0K6",1,"Bypass Spinal Canal to Periton Cav w Nonaut Sub, Open","Bypass Spinal Canal to Peritoneal Cavity with Nonautologous Tissue Substitute, Open Approach"
"001U0K7",1,"Bypass Spinal Canal to Urinary Tract w Nonaut Sub, Open","Bypass Spinal Canal to Urinary Tract with Nonautologous Tissue Substitute, Open Approach"
"001U0K9",1,"Bypass Spinal Canal to Fallopian w Nonaut Sub, Open","Bypass Spinal Canal to Fallopian Tube with Nonautologous Tissue Substitute, Open Approach"
"001U372",1,"Bypass Spinal Canal to Atrium with Autol Sub, Perc Approach","Bypass Spinal Canal to Atrium with Autologous Tissue Substitute, Percutaneous Approach"
"001U374",1,"Bypass Spinal Canal to Pleural Cav w Autol Sub, Perc","Bypass Spinal Canal to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach"
"001U376",1,"Bypass Spinal Canal to Periton Cav w Autol Sub, Perc","Bypass Spinal Canal to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach"
"001U377",1,"Bypass Spinal Canal to Urinary Tract w Autol Sub, Perc","Bypass Spinal Canal to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach"
"001U379",1,"Bypass Spinal Canal to Fallopian w Autol Sub, Perc","Bypass Spinal Canal to Fallopian Tube with Autologous Tissue Substitute, Percutaneous Approach"
"001U3J2",1,"Bypass Spinal Canal to Atrium with Synth Sub, Perc Approach","Bypass Spinal Canal to Atrium with Synthetic Substitute, Percutaneous Approach"
"001U3J4",1,"Bypass Spinal Canal to Pleural Cav w Synth Sub, Perc","Bypass Spinal Canal to Pleural Cavity with Synthetic Substitute, Percutaneous Approach"
"001U3J6",1,"Bypass Spinal Canal to Periton Cav w Synth Sub, Perc","Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach"
"001U3J7",1,"Bypass Spinal Canal to Urinary Tract w Synth Sub, Perc","Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Percutaneous Approach"
"001U3J9",1,"Bypass Spinal Canal to Fallopian w Synth Sub, Perc","Bypass Spinal Canal to Fallopian Tube with Synthetic Substitute, Percutaneous Approach"
"001U3K2",1,"Bypass Spinal Canal to Atrium with Nonaut Sub, Perc Approach","Bypass Spinal Canal to Atrium with Nonautologous Tissue Substitute, Percutaneous Approach"
"001U3K4",1,"Bypass Spinal Canal to Pleural Cav w Nonaut Sub, Perc","Bypass Spinal Canal to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
"001U3K6",1,"Bypass Spinal Canal to Periton Cav w Nonaut Sub, Perc","Bypass Spinal Canal to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
"001U3K7",1,"Bypass Spinal Canal to Urinary Tract w Nonaut Sub, Perc","Bypass Spinal Canal to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Approach"
"001U3K9",1,"Bypass Spinal Canal to Fallopian w Nonaut Sub, Perc","Bypass Spinal Canal to Fallopian Tube with Nonautologous Tissue Substitute, Percutaneous Approach"
"001U472",1,"Bypass Spinal Canal to Atrium w Autol Sub, Perc Endo","Bypass Spinal Canal to Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U474",1,"Bypass Spinal Canal to Pleural Cav w Autol Sub, Perc Endo","Bypass Spinal Canal to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U476",1,"Bypass Spinal Canal to Periton Cav w Autol Sub, Perc Endo","Bypass Spinal Canal to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U477",1,"Bypass Spinal Canal to Urinary Tract w Autol Sub, Perc Endo","Bypass Spinal Canal to Urinary Tract with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U479",1,"Bypass Spinal Canal to Fallopian w Autol Sub, Perc Endo","Bypass Spinal Canal to Fallopian Tube with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U4J2",1,"Bypass Spinal Canal to Atrium w Synth Sub, Perc Endo","Bypass Spinal Canal to Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"001U4J4",1,"Bypass Spinal Canal to Pleural Cav w Synth Sub, Perc Endo","Bypass Spinal Canal to Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
"001U4J6",1,"Bypass Spinal Canal to Periton Cav w Synth Sub, Perc Endo","Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
"001U4J7",1,"Bypass Spinal Canal to Urinary Tract w Synth Sub, Perc Endo","Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Percutaneous Endoscopic Approach"
"001U4J9",1,"Bypass Spinal Canal to Fallopian w Synth Sub, Perc Endo","Bypass Spinal Canal to Fallopian Tube with Synthetic Substitute, Percutaneous Endoscopic Approach"
"001U4K2",1,"Bypass Spinal Canal to Atrium w Nonaut Sub, Perc Endo","Bypass Spinal Canal to Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U4K4",1,"Bypass Spinal Canal to Pleural Cav w Nonaut Sub, Perc Endo","Bypass Spinal Canal to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U4K6",1,"Bypass Spinal Canal to Periton Cav w Nonaut Sub, Perc Endo","Bypass Spinal Canal to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U4K7",1,"Bypass Spinal Canal to Urinary Tract w Nonaut Sub, Perc Endo","Bypass Spinal Canal to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"001U4K9",1,"Bypass Spinal Canal to Fallopian w Nonaut Sub, Perc Endo","Bypass Spinal Canal to Fallopian Tube with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"002",0,"Central Nervous System and Cranial Nerves, Change","Central Nervous System and Cranial Nerves, Change"
"0020X0Z",1,"Change Drainage Device in Brain, External Approach","Change Drainage Device in Brain, External Approach"
"0020XYZ",1,"Change Other Device in Brain, External Approach","Change Other Device in Brain, External Approach"
"002EX0Z",1,"Change Drainage Device in Cranial Nerve, External Approach","Change Drainage Device in Cranial Nerve, External Approach"
"002EXYZ",1,"Change Other Device in Cranial Nerve, External Approach","Change Other Device in Cranial Nerve, External Approach"
"002UX0Z",1,"Change Drainage Device in Spinal Canal, External Approach","Change Drainage Device in Spinal Canal, External Approach"
"002UXYZ",1,"Change Other Device in Spinal Canal, External Approach","Change Other Device in Spinal Canal, External Approach"
"005",0,"Central Nervous System and Cranial Nerves, Destruction","Central Nervous System and Cranial Nerves, Destruction"
"00500ZZ",1,"Destruction of Brain, Open Approach","Destruction of Brain, Open Approach"
"00503ZZ",1,"Destruction of Brain, Percutaneous Approach","Destruction of Brain, Percutaneous Approach"
"00504ZZ",1,"Destruction of Brain, Percutaneous Endoscopic Approach","Destruction of Brain, Percutaneous Endoscopic Approach"
"00510ZZ",1,"Destruction of Cerebral Meninges, Open Approach","Destruction of Cerebral Meninges, Open Approach"
"00513ZZ",1,"Destruction of Cerebral Meninges, Percutaneous Approach","Destruction of Cerebral Meninges, Percutaneous Approach"
"00514ZZ",1,"Destruction of Cerebral Meninges, Perc Endo Approach","Destruction of Cerebral Meninges, Percutaneous Endoscopic Approach"
"00520ZZ",1,"Destruction of Dura Mater, Open Approach","Destruction of Dura Mater, Open Approach"
"00523ZZ",1,"Destruction of Dura Mater, Percutaneous Approach","Destruction of Dura Mater, Percutaneous Approach"
"00524ZZ",1,"Destruction of Dura Mater, Percutaneous Endoscopic Approach","Destruction of Dura Mater, Percutaneous Endoscopic Approach"
"00560ZZ",1,"Destruction of Cerebral Ventricle, Open Approach","Destruction of Cerebral Ventricle, Open Approach"
